name,description,address,city,latitude,longitude,photos,amenities,sports,size,price_per_hour_rupees,avg_rating,total_reviews
KickOff Arena,Premium football turf with international quality ground and best in class facilities.,Andheri West,Mumbai,19.1358,72.8267,https://picsum.photos/seed/kickoff1/900/600|https://picsum.photos/seed/kickoff2/900/600|https://picsum.photos/seed/kickoff3/900/600,Flood Lights|Parking|Changing Room|Cafe,Football,7v7,1200,4.6,128
Game On Turf,Community favourite turf known for its bouncy grass and night lighting.,Powai,Mumbai,19.1176,72.9060,https://picsum.photos/seed/gameon1/900/600|https://picsum.photos/seed/gameon2/900/600,Flood Lights|Parking|Water,Football|Cricket,5v5,1000,4.4,96
Greenfield Turf,Well-maintained artificial turf popular for weekend matches.,Malad West,Mumbai,19.1864,72.8493,https://picsum.photos/seed/greenfield1/900/600|https://picsum.photos/seed/greenfield2/900/600,Flood Lights|Changing Room|First Aid,Football,7v7,1100,4.5,73
Victory Ground,Full-size turf with seating for spectators and a pro shop on site.,Goregaon East,Mumbai,19.1663,72.8526,https://picsum.photos/seed/victory1/900/600|https://picsum.photos/seed/victory2/900/600,Flood Lights|Parking|Changing Room|Cafe|First Aid,Football,11v11,1800,4.3,54
Striker's Den,Compact 5-a-side turf ideal for quick evening games with friends.,Bandra East,Mumbai,19.0669,72.8479,https://picsum.photos/seed/striker1/900/600|https://picsum.photos/seed/striker2/900/600,Flood Lights|Water,Football,5v5,900,4.2,41
Champions Turf,Modern facility with two full turfs and locker rooms.,Whitefield,Bangalore,12.9698,77.7500,https://picsum.photos/seed/champions1/900/600|https://picsum.photos/seed/champions2/900/600,Flood Lights|Parking|Changing Room|Cafe,Football|Cricket,7v7,1300,4.7,112
Turf Titans,Well-lit night turf with a small cafe for post-match snacks.,Koramangala,Bangalore,12.9352,77.6245,https://picsum.photos/seed/titans1/900/600|https://picsum.photos/seed/titans2/900/600,Flood Lights|Cafe|Parking,Football,7v7,1250,4.5,88
Playmaker Arena,Spacious 11v11 ground with natural-feel artificial grass.,Indiranagar,Bangalore,12.9719,77.6412,https://picsum.photos/seed/playmaker1/900/600|https://picsum.photos/seed/playmaker2/900/600,Flood Lights|Parking|Changing Room,Football,11v11,1700,4.1,29
Capital Kicks,Centrally located turf with easy metro access.,Saket,Delhi,28.5245,77.2066,https://picsum.photos/seed/capitalkicks1/900/600|https://picsum.photos/seed/capitalkicks2/900/600,Flood Lights|Parking|Cafe,Football,7v7,1400,4.4,67
Northside Arena,Budget-friendly turf popular with college students.,Rohini,Delhi,28.7041,77.1025,https://picsum.photos/seed/northside1/900/600|https://picsum.photos/seed/northside2/900/600,Flood Lights|Water,Football,5v5,800,4.0,35
Backwater Turf,Scenic turf near the backwaters with evening breeze and good lighting.,Kakkanad,Kochi,10.0159,76.3419,https://picsum.photos/seed/backwater1/900/600|https://picsum.photos/seed/backwater2/900/600,Flood Lights|Parking|Changing Room|Water,Football,7v7,1000,4.6,58
Malabar Sports Turf,Family-friendly turf with a small viewing gallery.,Edappally,Kochi,10.0273,76.3082,https://picsum.photos/seed/malabar1/900/600|https://picsum.photos/seed/malabar2/900/600,Flood Lights|Cafe|First Aid,Football|Cricket,7v7,950,4.3,44
